Unnamed: 0,Semester Year Name Concat,Enrollment Cnt,Course Subject Short Nm,Course Number,Section Nbr,Crs Rpt College Schl Shrt Nm,Major
0,2017 Spring,1,Anthropology,121AC,1,Clg of Letters & Science,ancient egyptian and near eastern art and archaeology
1,2017 Spring,1,Egyptian,101B,1,Clg of Letters & Science,ancient egyptian and near eastern art and archaeology
2,2017 Spring,1,Near Eastern Studies,190A,2,Clg of Letters & Science,ancient egyptian and near eastern art and archaeology
